Date,,Day of Week (Sunday = 0),Total Lines Changed,Files Changed,Insertions,Deletions,Difference,Lines Changed Percentile,Files Changed Percentile,Insertions Percentile,Deletions Percentile,ActivityLog Count,ActionLog Distinct User Count,EventLog Count,EventLog Distinct User Count
3/2/2012,236,5,1971,47,1962,9,1953,0.677,0.533,0.81,0.056,24244,2565,159476,2471
3/3/2012,237,6,459,36,372,87,285,0.324,0.413,0.4,0.251,11740,3502,100904,3455
3/4/2012,238,0,1193,27,585,110,475,0.542,0.314,0.512,0.295,13746,3275,105209,3224
3/5/2012,239,1,3704,673,2386,2066,320,0.816,0.953,0.85,0.867,31463,4592,194544,4490
3/6/2012,240,2,1349,53,1019,330,689,0.575,0.586,0.656,0.559,36035,6109,194707,5952
3/7/2012,241,3,331,25,289,42,247,0.251,0.267,0.327,0.162,29667,4517,208238,4395
3/8/2012,242,4,5370,691,1764,3606,-1842,0.877,0.957,0.776,0.938,22955,2798,201597,2662
3/9/2012,243,5,388,21,272,116,156,0.284,0.227,0.314,0.301,24338,2547,165240,2456
3/10/2012,244,6,8569,773,6241,2657,3584,0.955,0.974,0.964,0.913,14599,3289,139708,3249
3/11/2012,245,0,918,26,325,246,79,0.485,0.297,0.373,0.489,15561,3381,193850,3335
3/12/2012,246,1,2384,85,650,1734,-1084,0.725,0.767,0.529,0.85,29014,3615,274474,3498
3/13/2012,247,2,2067,65,1543,524,1019,0.691,0.666,0.74,0.658,35253,6539,317499,6390
3/14/2012,248,3,1217,45,1108,166,942,0.544,0.516,0.672,0.388,40136,5851,347062,5701
3/15/2012,249,4,706,36,501,114,387,0.428,0.413,0.476,0.299,29428,3304,258932,3198
3/16/2012,250,5,1097,39,798,299,499,0.514,0.466,0.575,0.533,19043,2725,192706,2622
3/17/2012,251,6,666,25,485,181,304,0.409,0.267,0.466,0.409,11273,2896,133159,2851
3/18/2012,252,0,1510,62,415,1095,-680,0.611,0.643,0.415,0.799,11329,3477,160239,3435
3/19/2012,253,1,770,59,1289,145,1144,0.457,0.632,0.706,0.36,25408,3661,196404,3542
3/20/2012,254,2,1268,118,3266,446,2820,0.556,0.835,0.89,0.622,28518,4832,192949,4733
3/21/2012,255,3,939,151,1307,3126,-1819,0.491,0.886,0.708,0.93,26568,3488,239746,3379
3/22/2012,256,4,4973,4972,4271,702,3569,0.862,0.985,0.93,0.721,26151,3232,248254,3107
3/23/2012,257,5,4473,4952,996,3477,-2481,0.845,0.981,0.651,0.934,27762,2726,285191,2620
3/24/2012,258,6,583,15,211,372,-161,0.375,0.168,0.246,0.592,17746,2676,118162,2617
3/25/2012,259,0,4604,4948,3753,851,2902,0.852,0.978,0.902,0.759,18952,3588,285932,3515
3/26/2012,260,1,5828,5001,1883,3945,-2062,0.898,0.989,0.795,0.957,44475,3804,276485,3654
3/27/2012,261,2,741,30,700,41,659,0.447,0.345,0.55,0.154,42572,4912,225761,4790
3/28/2012,262,3,717,32,611,106,505,0.432,0.381,0.521,0.291,35589,3610,257180,3470
3/29/2012,263,4,345,18,67,27,40,0.257,0.202,0.109,0.118,32662,3235,241243,3143
3/30/2012,264,5,544,20,192,61,131,0.356,0.223,0.223,0.2,25267,2667,191915,2616
3/31/2012,265,6,,,,,,,,,,17890,2999,120564,2970
4/1/2012,266,0,1502,79,1174,330,844,0.609,0.736,0.681,0.559,14318,3663,123115,3641
4/2/2012,267,1,479,70,391,139,252,0.333,0.7,0.405,0.348,24942,3246,201080,3167
4/3/2012,268,2,381,14,249,78,171,0.276,0.149,0.286,0.234,25935,4595,223246,4515
4/4/2012,269,3,434,39,307,118,189,0.308,0.466,0.352,0.305,25509,3564,192234,3477
4/5/2012,270,4,19,3,2,17,-15,0.035,0.042,0.008,0.08,26023,3073,205129,2989
4/6/2012,271,5,17,4,9,8,1,0.033,0.054,0.042,0.052,18116,2549,167906,2495
4/7/2012,272,6,,,,,,,,,,13315,3117,110644,3084
4/8/2012,273,0,339,15,283,56,227,0.253,0.168,0.32,0.194,13417,3501,142737,3468
4/9/2012,274,1,1678,43,1533,145,1388,0.639,0.506,0.738,0.36,27141,2881,246485,2800
4/10/2012,275,2,1135,37,814,321,493,0.523,0.438,0.588,0.552,29796,4787,250490,4717
